ADD_ID,PLACENAME,PLACENAME2,PLACENAME3,PLACENAME4,ABBREVIATEDPLACENAME,STATUS,ACCESSIBLE,PL_CLASS,PL_TYPE,GLOBALID,LAT,LONG
,Davidson Arboretum,,,,,Current,,garden,garden,{B88F7A64-3A1C-4589-B89D-104C29069CF1},49.2651968245736,-123.257123154215
,Fairview Grove,,,,,Current,,garden,wood,{637DC54F-8875-4989-B9A9-F8C74E679572},49.2629025270122,-123.250618958219
,Patient Park,,,,,Current,,garden,garden,{CD1ABF86-4BAE-418E-8732-EDF57307D8B8},49.2637408513777,-123.246875807607
,Thunderbird Park,,,,,Current,,attraction,field,{C1551D6B-4710-46DC-B21A-5B31E10D7EC7},49.2571234496209,-123.240519417157
,Taylor Learning Plaza,,,,,Current,,garden,plaza,{1B445721-3EDF-4873-9EC0-E0328C74E6A8},49.2529551503246,-123.246789898231
,Sauder Family Garden,,,,,Current,,NL,garden,{7612C451-9FCF-4A06-8100-3D9664970443},49.264416946846,-123.244985594893
,Roseline Sturdy Amphitheatre,,,,,Current,,garden,plaza,{9103A578-FFEA-4F6C-8B10-4C71E396B938},49.254510957561,-123.247260201525
,Lee Square,Money and Raymond M.C. Lee Square,,,,Current,,garden,plaza,{54D6AFAB-54E5-4E51-B815-A31816158C5D},49.2655783185259,-123.250490327113
,Greenheart TreeWalk,UBC Botanical Garden,,,,Current,,garden,garden,{42C2E6DB-41FD-4B2F-8155-562CD43DD849},49.2501301177894,-123.245381449299
,Pacific Spirit Regional Park,,,,PSRP,Current,,PSRP,other,{BDD382B0-1892-455D-8053-80CD698B8577},49.2653509779193,-123.262499281289
,Pacific Spirit Regional Park,,,,PSRP,Current,,PSRP,other,{77890763-F2D1-49BB-9A87-AB179A0A8154},49.2517770645987,-123.225460925537
,University Endowment Lands,,,,UEL,Current,,UEL,other,{0262458B-13A7-42C1-B762-D9FB76772475},49.2702692971771,-123.245229338129
,UBC Botanical Garden and Centre for Plant Research,,,,,Current,,attraction,garden,{91C013DC-A152-43AC-857D-5A90B1EF7500},49.2530331062994,-123.249544714685
