SERVICE_ID,BL_ID,NAME,SERVICE_TYPE,BL_NAME,PHOTOURL,URL,HTML,CONTACT,HOURS,MANAGE,STATUS,ADD_ID,GLOBALID,LAT,LONG
50,570,Museum of Anthropology (MOA),attractions,,,http://www.moa.ubc.ca,,,,UBC,,AD-228,{7EBA8F9C-E443-4D6A-9CFF-741EC0EBECF7},49.2694117399113,-123.259042711351
51,046,Asian Centre,attractions,,,http://www.asia.ubc.ca,,,,UBC,,AD-106,{BF7FBD9F-C9A8-4A4F-9344-FE3CE37592D2},49.2667439500749,-123.25872648235
52,376,Frederic Wood Theatre,attractions,,,http://www.theatre.ubc.ca/index.shtml,,,,UBC,,AD-171,{16A4DFBE-07AA-4EBE-B5E1-F0A2CA77BB8B},49.2681111675154,-123.256838289076
53,402,Pacific Museum of the Earth,attractions,,,http://www.eos.ubc.ca/resources/museum/,,,,UBC,,AD-178,{9A28EB29-3AE0-4B64-823F-70C970C97DE5},49.2626732337037,-123.252433641091
54,432,UBC Tennis Centre,athletics,,,http://sportfacilities.ubc.ca/tennis-centre/,,,,Athletics,,AD-450,{24727CE2-04EE-494E-85EF-B342ACF90268},49.2597540265956,-123.244937954955
55,097,UBC Botanical Garden and Centre for Plant Research,attractions,,,http://www.botanicalgarden.ubc.ca/centre-for-plant-research,,,,UBC,,AD-120,{AF603930-B2A9-4926-B5E3-425AAC085E2B},49.2540124578448,-123.250521413777
56,344,Leon and Thea Koerner University Centre,attractions,,,http://www.library.ubc.ca/archives/facclub/welcome.html,,,,UBC,,AD-166,{7CAD9ED1-DBFB-4A60-9622-C761C4463808},49.2688726862937,-123.257138535193
58,,UBC Ropes Course,athletics,,,http://www.ubcropescourse.ca,,,,Athletics,,AD-269,{C2174933-0DA7-4225-B4BA-83BA59D37D53},49.2542194126628,-123.242797233065
59,670,UBC Farm,farmers market,,,http://ubcfarm.ubc.ca,,,,UBC,,AD-112,{6BD875C7-C113-42EE-9042-AE67FBB28F07},49.2507676234128,-123.237996055391
60,097,Greenheart Canopy Walkway,attractions,,,http://www.botanicalgarden.ubc.ca/canopy-walkway,,,,UBC,,AD-114,{8D8D8BE3-3F46-4760-97B3-7560D70E0A51},49.2496105919023,-123.244417588043
61,320,Dorothy Somerset Studio,attractions,,,http://www.theatre.ubc.ca/index.shtml,,,,UBC,,AD-163,{D57B0A7B-C11C-48FC-A7E0-267B187B438F},49.2645025964063,-123.254420950078
62,044,Old Auditorium,attractions,,,http://www.music.ubc.ca/about-us/facilities/old-auditorium.html,,,,UBC,,AD-104,{C8277C2A-2F41-44FB-8F0A-F68C06EB0006},49.2669137430925,-123.256057697036
65,,University Golf Club,athletics,,,http://www.universitygolf.com,,,,UEL,Non-UBC,AD-128,{3D8D2F34-E822-4DEA-8BDA-CBF68CCF396C},49.263951948055,-123.228769298447
81,,Lutheran Campus Centre,worship,,,,,,,UEL,Non-UBC,AD-324,{A59DCBDD-2911-4E36-B7B8-BA8033A31210},49.2667118142111,-123.24524862583
143,,University Pharmacy,pharmacy,,,,,,,UEL,Non-UBC,AD-323,{90874833-0881-4A23-9199-95AEBA511783},49.2664949397116,-123.243271738928
145,,University Drycleaners,commercial_services,,,,,,,UEL,Non-UBC,AD-323,{4CDF31A9-6F63-4677-B962-34AC7AEDAF5A},49.2666354742071,-123.242983799562
148,,Granville Island Produce At University,grocery,,,,,,,UEL,Non-UBC,AD-135,{9F4DA4F8-2234-4302-964B-EE1572F75E81},49.2657520724366,-123.243002207249
151,,Prime News,retail,,,,,,,UEL,Non-UBC,AD-135,{F26CC97C-1001-41FC-94D1-3F838ABA62CB},49.2660037909998,-123.243040199714
152,,University VIllage Medical Clinic,medical,,,,,,,UEL,Non-UBC,AD-816,{44635415-0012-4EF1-9F81-ECD603EB08ED},49.2663419013983,-123.24225499008
155,,"Dollar ""N"" Plus ",retail,,,,,,,UEL,Non-UBC,AD-816,{58997D2D-C7CA-4ECD-8E4D-0F0AE9681672},49.2660450446844,-123.242180921619
158,,Regent College,commercial_services,,,,,,,UEL,Non-UBC,AD-135,{2F17036C-1282-4564-BE5B-E6AE6F210E4D},49.2656754991981,-123.244083873478
